GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.example.backend.words.web,WordController,38,6,0,0,7,1,3,1,3,1
backend,com.example.backend.words.web,WordController.RestWordCommand,224,0,38,0,6,0,33,0,14,0
backend,com.example.backend.words.doamin,Word,267,21,46,0,6,9,37,3,14,3
backend,com.example.backend.sentences.domain,Sentence,267,21,46,0,6,9,37,3,14,3
backend,com.example.backend.DataBase.web,DataBaseController,4,3,0,0,2,1,1,1,1,1
backend,com.example.backend.letters.web,LetterController,9,6,0,0,3,1,1,1,1,1
backend,com.example.backend.words.application,WordService,22,6,0,0,7,1,2,1,2,1
backend,com.example.backend.words.application.port,WordUseCase.CreateWordCommand,203,0,36,0,7,0,27,0,9,0
backend,com.example.backend.words.application.port,WordUseCase.CreateWordCommand.CreateWordCommandBuilder,62,0,0,0,1,0,7,0,7,0
backend,com.example.backend.letters.application,LetterService,4,6,0,0,1,1,1,1,1,1
backend,com.example.backend.DataBase.application,DataBaseService.CsvElement,196,31,38,0,1,6,24,9,5,9
backend,com.example.backend.DataBase.application,DataBaseService,21,173,0,0,6,52,0,8,0,8
backend,com.example.backend.DataBase.application,DataBaseService.CsvLetter,274,45,54,0,1,8,32,13,5,13
backend,com.example.backend.sentences.web,SentencesController,9,6,0,0,3,1,1,1,1,1
backend,com.example.backend,InitDataBase,0,19,0,0,0,6,0,2,0,2
backend,com.example.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.example.backend.letters.domain,Letter,46,27,0,0,7,10,13,3,13,3
backend,com.example.backend.sentences.aplication,SentencesService,4,6,0,0,1,1,1,1,1,1
